,Car 1,Car 2
0,2021-04-20 23:28:09.436458,2021-04-20 23:28:09.473362
1,2021-04-20 23:28:10.512009,2021-04-20 23:28:10.551901
2,2021-04-20 23:28:11.609630,2021-04-20 23:28:11.708369
