Car 1
2021-04-21 19:01:35.333932
2021-04-21 19:01:36.333936
2021-04-21 19:01:37.334678
2021-04-21 19:01:38.334906
2021-04-21 19:01:39.335604
2021-04-21 19:01:40.336370
2021-04-21 19:01:41.336798
2021-04-21 19:01:42.337644
2021-04-21 19:01:43.338030
2021-04-21 19:01:44.338104
2021-04-21 19:01:45.338879
2021-04-21 19:01:46.339305
2021-04-21 19:01:47.339539
2021-04-21 19:01:48.340398
2021-04-21 19:01:49.341311
2021-04-21 19:01:50.341410
2021-04-21 19:01:51.342286
2021-04-21 19:01:52.343119
2021-04-21 19:01:53.344095
2021-04-21 19:01:54.344590
2021-04-21 19:01:55.344940
2021-04-21 19:01:56.345055
2021-04-21 19:01:57.345405
2021-04-21 19:01:58.345499
2021-04-21 19:01:59.345852
2021-04-21 19:02:00.346214
2021-04-21 19:02:01.347134
2021-04-21 19:02:02.347977
2021-04-21 19:02:03.348677
2021-04-21 19:02:04.348828
2021-04-21 19:02:05.349732
2021-04-21 19:02:06.350393
2021-04-21 19:02:07.351894
2021-04-21 19:02:08.352399
2021-04-21 19:02:09.352938
2021-04-21 19:02:10.353793
2021-04-21 19:02:11.353863
2021-04-21 19:02:12.354707
2021-04-21 19:02:13.355570
2021-04-21 19:02:14.355948
2021-04-21 19:02:15.356036
2021-04-21 19:02:16.356409
2021-04-21 19:02:17.356886
2021-04-21 19:02:18.357774
2021-04-21 19:02:19.357785
2021-04-21 19:02:20.358513
2021-04-21 19:02:21.359357
2021-04-21 19:02:22.360131
2021-04-21 19:02:23.360822
2021-04-21 19:02:24.361634
